eid,fname,lname,email,phone,hiredate,jobid,salary,comm,mid,did
159,Lindsey,Smith,lsmith@gmail.com,011.44.1345.729268,10-03-1997,SA_REP,8000,0.3,146,80
160,Louise,Doran,ldoran@gmail.com,011.44.1345.629268,15-12-1997,SA_REP,7500,0.3,146,80
161,Sarath,Sewall,ssewall@gmail.com,011.44.1345.529268,03-11-1998,SA_REP,7000,0.25,146,80
162,Clara,Vishney,cvishney@gmail.com,011.44.1346.129268,11-11-1997,SA_REP,10500,0.25,147,80
163,Danielle,Greene,dgreene@gmail.com,011.44.1346.229268,19-03-1999,SA_REP,9500,0.15,147,80
164,Mattea,Marvins,mmarvins@gmail.com,011.44.1346.329268,24-01-2000,SA_REP,7200,0.1,147,80
165,David,Lee,dlee@gmail.com,011.44.1346.529268,23-02-2000,SA_REP,6800,0.1,147,80
166,Sundar,Ande,sande@gmail.com,011.44.1346.629268,24-03-2000,SA_REP,6400,0.1,147,80
167,Amit,Banda,abanda@gmail.com,011.44.1346.729268,21-04-2000,SA_REP,6200,0.1,147,80
168,Lisa,Ozer,lozer@gmail.com,011.44.1343.929268,11-03-1997,SA_REP,11500,0.25,148,80
169,Harrison,Bloom,hbloom@gmail.com,011.44.1343.829268,23-03-1998,SA_REP,10000,0.2,148,80
170,Tayler,Fox,tfox@gmail.com,011.44.1343.729268,24-01-1998,SA_REP,9600,0.2,148,80
171,William,Smith,wsmith@gmail.com,011.44.1343.629268,23-02-1999,SA_REP,7400,0.15,148,80
172,Elizabeth,Bates,ebates@gmail.com,011.44.1343.529268,24-03-1999,SA_REP,7300,0.15,148,80
173,Sundita,Kumar,skumar@gmail.com,011.44.1343.329268,21-04-2000,SA_REP,6100,0.1,148,80
174,Ellen,Abel,eabel@gmail.com,011.44.1644.429267,11-05-1996,SA_REP,11000,0.3,149,80
175,Alyssa,Hutton,ahutton@gmail.com,011.44.1644.429266,19-03-1997,SA_REP,8800,0.25,149,80
176,Jonathon,Taylor,jtaylor@gmail.com,011.44.1644.429265,24-03-1998,SA_REP,8600,0.2,149,80
177,Jack,Livingston,jlivings@gmail.com,011.44.1644.429264,23-04-1998,SA_REP,8400,0.2,149,80
178,Kimberely,Grant,kgrant@gmail.com,011.44.1644.429263,24-05-1999,SA_REP,7000,0.15,149,NULL
179,Charles,Johnson,cjohnson@gmail.com,011.44.1644.429262,04-01-2000,SA_REP,6200,0.1,149,80
180,Winston,Taylor,wtaylor@gmail.com,650.507.9876,24-01-1998,SH_CLERK,3200,NULL,120,50
181,Jean,Fleaur,jfleaur@gmail.com,650.507.9877,23-02-1998,SH_CLERK,3100,NULL,120,50
182,Martha,Sullivan,msulliva@gmail.com,650.507.9878,21-06-1999,SH_CLERK,2500,NULL,120,50
183,Girard,Geoni,ggeoni@gmail.com,650.507.9879,03-02-2000,SH_CLERK,2800,NULL,120,50
184,Nandita,Sarchand,nsarchan@gmail.com,650.509.1876,27-01-1996,SH_CLERK,4200,NULL,121,50
185,Alexis,Bull,abull@gmail.com,650.509.2876,20-02-1997,SH_CLERK,4100,NULL,121,50
186,Julia,Dellinger,jdelling@gmail.com,650.509.3876,24-06-1998,SH_CLERK,3400,NULL,121,50
187,Anthony,Cabrio,acabrio@gmail.com,650.509.4876,07-02-1999,SH_CLERK,3000,NULL,121,50
188,Kelly,Chung,kchung@gmail.com,650.505.1876,14-06-1997,SH_CLERK,3800,NULL,122,50
189,Jennifer,Dilly,jdilly@gmail.com,650.505.2876,13-08-1997,SH_CLERK,3600,NULL,122,50
190,Timothy,Gates,tgates@gmail.com,650.505.3876,11-07-1998,SH_CLERK,2900,NULL,122,50
191,Randall,Perkins,rperkins@gmail.com,650.505.4876,19-12-1999,SH_CLERK,2500,NULL,122,50
192,Sarah,Bell,sbell@gmail.com,650.501.1876,04-02-1996,SH_CLERK,4000,NULL,123,50
193,Britney,Everett,beverett@gmail.com,650.501.2876,03-03-1997,SH_CLERK,3900,NULL,123,50
194,Samuel,McCain,smccain@gmail.com,650.501.3876,01-07-1998,SH_CLERK,3200,NULL,123,40
195,Vance,Jones,vjones@gmail.com,650.501.4876,17-03-1999,SH_CLERK,2800,NULL,123,40
196,Alana,Walsh,awalsh@gmail.com,650.507.9811,24-04-1998,SH_CLERK,3100,NULL,124,40
197,Kevin,Feeney,kfeeney@gmail.com,650.507.9822,23-05-1998,SH_CLERK,3000,NULL,124,40
198,Donald,OConnell,doconnel@gmail.com,650.507.9833,21-06-1999,SH_CLERK,2600,NULL,124,50
199,Douglas,Grant,dgrant@gmail.com,650.507.9844,13-01-2000,SH_CLERK,2600,NULL,124,50
200,Jennifer,Whalen,jwhalen@gmail.com,515.123.4444,17-09-1987,AD_ASST,4400,NULL,101,10
193,Britney,Everett,beverett@gmail.com,650.501.2876,03-03-1997,SH_CLERK,3900,NULL,123,50
194,Samuel,McCain,smccain@gmail.com,650.501.3876,01-07-1998,SH_CLERK,3200,NULL,123,40
195,Vance,Jones,vjones@gmail.com,650.501.4876,17-03-1999,SH_CLERK,2800,NULL,123,40
196,Alana,Walsh,awalsh@gmail.com,650.507.9811,24-04-1998,SH_CLERK,3100,NULL,124,40
197,Kevin,Feeney,kfeeney@gmail.com,650.507.9822,23-05-1998,SH_CLERK,3000,NULL,124,40
198,Donald,OConnell,doconnel@gmail.com,650.507.9833,21-06-1999,SH_CLERK,2600,NULL,124,50
199,Douglas,Grant,dgrant@gmail.com,650.507.9844,13-01-2000,SH_CLERK,2600,NULL,124,50
200,Jennifer,Whalen,jwhalen@gmail.com,515.123.4444,17-09-1987,AD_ASST,4400,NULL,101,10
